month,num
2017-06,32
2017-07,72
2017-08,92
2017-09,19
2017-10,22
2017-11,34
2017-12,10
2018-01,26
2018-02,20
2018-03,106
2018-04,313
2018-05,268
2018-06,344
2018-07,148
2018-08,300
2018-09,261
2018-10,710
2018-11,409
2018-12,122
2019-01,155
2019-02,144
2019-03,149
2019-04,88
2019-05,169
2019-06,184
2019-07,104
2019-08,173
2019-09,5
2019-10,80
2019-11,205
2019-12,101
2020-01,39
2020-02,41
